x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
508176.6782	5899928.8183	0.0000	LineP3	85	170	0
508176.3971	5899928.9790	0.0000	LineP3	85	170	0
508175.4332	5899930.4247	0.0000	LineP3	85	170	0
508175.4332	5899930.5051	0.0000	LineP3	85	170	0
508175.4332	5899931.9106	0.0000	LineP3	85	170	0
508175.6340	5899933.1958	0.0000	LineP3	85	170	0
508174.9112	5899934.6014	0.0000	LineP3	85	170	0
508174.0276	5899934.4006	0.0000	LineP3	85	170	0
508172.5819	5899932.9146	0.0000	LineP3	85	170	0
508172.5819	5899932.8343	0.0000	LineP3	85	170	0
508172.4614	5899931.2681	0.0000	LineP3	85	170	0
508172.4614	5899931.2279	0.0000	LineP3	85	170	0
508172.3811	5899931.1476	0.0000	LineP3	85	170	0
508172.3811	5899931.1075	0.0000	LineP3	85	170	0
508171.2566	5899929.6215	0.0000	LineP3	85	170	0
508170.4133	5899927.8947	0.0000	LineP3	85	170	0
508170.4133	5899927.8143	0.0000	LineP3	85	170	0
508170.4133	5899927.7742	0.0000	LineP3	85	170	0
508170.1321	5899926.1276	0.0000	LineP3	85	170	0
508170.0920	5899926.0473	0.0000	LineP3	85	170	0
508170.0518	5899925.8867	0.0000	LineP3	85	170	0
508168.9273	5899923.7582	0.0000	LineP3	85	170	0
508167.0398	5899922.2321	0.0000	LineP3	85	170	0
508165.2326	5899920.8265	0.0000	LineP3	85	170	0
508165.2326	5899920.7863	0.0000	LineP3	85	170	0
508165.1925	5899920.7863	0.0000	LineP3	85	170	0
508165.1925	5899920.7060	0.0000	LineP3	85	170	0
508165.1925	5899920.6659	0.0000	LineP3	85	170	0
508163.6664	5899919.2603	0.0000	LineP3	85	170	0
508163.5861	5899919.1398	0.0000	LineP3	85	170	0
508162.0600	5899917.9751	0.0000	LineP3	85	170	0
508161.4977	5899916.6499	0.0000	LineP3	85	170	0
508161.4977	5899916.6097	0.0000	LineP3	85	170	0
