x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
507913.9533	5899585.6081	0.0000	LineP6	255	85	0
507916.9028	5899588.1801	0.0000	LineP6	255	85	0
507916.9264	5899588.2037	0.0000	LineP6	255	85	0
507916.9500	5899588.2509	0.0000	LineP6	255	85	0
507916.9500	5899588.3217	0.0000	LineP6	255	85	0
507918.3422	5899590.3982	0.0000	LineP6	255	85	0
507918.3894	5899590.4690	0.0000	LineP6	255	85	0
507918.4130	5899590.4690	0.0000	LineP6	255	85	0
507920.2535	5899591.7432	0.0000	LineP6	255	85	0
507920.3479	5899591.7432	0.0000	LineP6	255	85	0
507920.4187	5899591.7668	0.0000	LineP6	255	85	0
507921.3153	5899592.8286	0.0000	LineP6	255	85	0
507922.0468	5899594.7399	0.0000	LineP6	255	85	0
507922.0940	5899597.5243	0.0000	LineP6	255	85	0
507921.9524	5899599.8367	0.0000	LineP6	255	85	0
507922.0232	5899601.6301	0.0000	LineP6	255	85	0
507922.0232	5899601.6537	0.0000	LineP6	255	85	0
507921.5277	5899604.1785	0.0000	LineP6	255	85	0
507922.6131	5899611.0686	0.0000	LineP6	255	85	0
507923.3210	5899613.1451	0.0000	LineP6	255	85	0
507923.3210	5899613.1687	0.0000	LineP6	255	85	0
507924.6896	5899614.9384	0.0000	LineP6	255	85	0
507924.7840	5899615.1272	0.0000	LineP6	255	85	0
507925.5627	5899617.0149	0.0000	LineP6	255	85	0
507925.5627	5899617.0385	0.0000	LineP6	255	85	0
507925.5627	5899617.0857	0.0000	LineP6	255	85	0
507925.5627	5899617.1093	0.0000	LineP6	255	85	0
507925.5627	5899617.1329	0.0000	LineP6	255	85	0
507926.7661	5899620.0588	0.0000	LineP6	255	85	0
507926.7897	5899620.1532	0.0000	LineP6	255	85	0
507926.8816	5899620.1992	0.0000	LineP6	255	85	0
507913.6302	5899635.4810	0.0000	LineP6	255	85	0
507908.6441	5899632.4470	0.0000	LineP6	255	85	0
507904.9394	5899630.8188	0.0000	LineP6	255	85	0
507900.1730	5899627.5861	0.0000	LineP6	255	85	0
507895.8312	5899624.0938	0.0000	LineP6	255	85	0
507891.1355	5899620.6252	0.0000	LineP6	255	85	0
507891.1119	5899620.6252	0.0000	LineP6	255	85	0
507890.4512	5899619.5869	0.0000	LineP6	255	85	0
507890.2153	5899618.2419	0.0000	LineP6	255	85	0
507890.9704	5899616.9441	0.0000	LineP6	255	85	0
507890.7816	5899615.3868	0.0000	LineP6	255	85	0
507889.6962	5899614.4429	0.0000	LineP6	255	85	0
507887.2893	5899612.1305	0.0000	LineP6	255	85	0
507887.2421	5899612.1069	0.0000	LineP6	255	85	0
507886.0623	5899611.3046	0.0000	LineP6	255	85	0
507886.0151	5899611.3046	0.0000	LineP6	255	85	0
507884.3634	5899609.1809	0.0000	LineP6	255	85	0
507884.3162	5899609.1101	0.0000	LineP6	255	85	0
507884.2926	5899609.1101	0.0000	LineP6	255	85	0
507883.2307	5899608.0719	0.0000	LineP6	255	85	0
507885.1185	5899606.3965	0.0000	LineP6	255	85	0
507886.2747	5899605.0279	0.0000	LineP6	255	85	0
507885.8735	5899604.6504	0.0000	LineP6	255	85	0
507883.1835	5899603.3290	0.0000	LineP6	255	85	0
507881.5082	5899602.5267	0.0000	LineP6	255	85	0
507881.4610	5899602.5267	0.0000	LineP6	255	85	0
507881.3666	5899602.5267	0.0000	LineP6	255	85	0
507881.3430	5899602.5267	0.0000	LineP6	255	85	0
507880.1632	5899602.6447	0.0000	LineP6	255	85	0
507880.1632	5899602.6683	0.0000	LineP6	255	85	0
507880.1160	5899602.6683	0.0000	LineP6	255	85	0
507880.0452	5899602.7391	0.0000	LineP6	255	85	0
