x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
508057.8850	5899737.6971	0.0000	LineP4	146	219	0
508058.9694	5899739.6248	0.0000	LineP4	146	219	0
508061.8609	5899744.1628	0.0000	LineP4	146	219	0
508063.9894	5899745.8496	0.0000	LineP4	146	219	0
508065.6359	5899747.8576	0.0000	LineP4	146	219	0
508068.1258	5899750.7089	0.0000	LineP4	146	219	0
508069.1700	5899751.4720	0.0000	LineP4	146	219	0
508070.4150	5899753.8012	0.0000	LineP4	146	219	0
508072.7041	5899755.4478	0.0000	LineP4	146	219	0
508074.0294	5899757.2952	0.0000	LineP4	146	219	0
508076.2783	5899759.2228	0.0000	LineP4	146	219	0
508078.6076	5899763.1987	0.0000	LineP4	146	219	0
508081.5794	5899766.1705	0.0000	LineP4	146	219	0
508083.1858	5899767.3351	0.0000	LineP4	146	219	0
508083.1858	5899767.3753	0.0000	LineP4	146	219	0
508084.2701	5899769.5038	0.0000	LineP4	146	219	0
508085.1135	5899774.4836	0.0000	LineP4	146	219	0
508088.8082	5899780.7084	0.0000	LineP4	146	219	0
508091.3383	5899782.5959	0.0000	LineP4	146	219	0
508091.3785	5899782.6361	0.0000	LineP4	146	219	0
508091.4186	5899782.6361	0.0000	LineP4	146	219	0
508091.4186	5899782.7164	0.0000	LineP4	146	219	0
508094.7519	5899784.1220	0.0000	LineP4	146	219	0
508094.7921	5899784.2023	0.0000	LineP4	146	219	0
508097.0008	5899785.7284	0.0000	LineP4	146	219	0
508097.0410	5899785.7686	0.0000	LineP4	146	219	0
508097.0812	5899785.8087	0.0000	LineP4	146	219	0
508097.1213	5899785.9694	0.0000	LineP4	146	219	0
508098.8482	5899787.8970	0.0000	LineP4	146	219	0
508099.1293	5899787.9774	0.0000	LineP4	146	219	0
508099.1695	5899787.9774	0.0000	LineP4	146	219	0
508101.2578	5899789.6239	0.0000	LineP4	146	219	0
508103.5871	5899792.6761	0.0000	LineP4	146	219	0
508105.4480	5899795.1917	0.0000	LineP4	146	219	0
508107.7637	5899798.0977	0.0000	LineP4	146	219	0
508109.4103	5899801.7924	0.0000	LineP4	146	219	0
508110.2334	5899801.3926	0.0000	LineP4	146	219	0
508110.6223	5899800.4686	0.0000	LineP4	146	219	0
508110.8962	5899800.4671	0.0000	LineP4	146	219	0
508111.7117	5899802.1732	0.0000	LineP4	146	219	0
508111.7396	5899802.0333	0.0000	LineP4	146	219	0
508111.8199	5899802.3145	0.0000	LineP4	146	219	0
508112.8594	5899803.9754	0.0000	LineP4	146	219	0
508113.1853	5899803.9610	0.0000	LineP4	146	219	0
508115.4343	5899805.8084	0.0000	LineP4	146	219	0
508115.5949	5899805.9690	0.0000	LineP4	146	219	0
508119.0487	5899810.0252	0.0000	LineP4	146	219	0
508122.0205	5899813.7601	0.0000	LineP4	146	219	0
508124.6309	5899820.9487	0.0000	LineP4	146	219	0
508128.1650	5899826.8924	0.0000	LineP4	146	219	0
508129.4099	5899830.2658	0.0000	LineP4	146	219	0
508130.8229	5899831.5610	0.0000	LineP4	146	219	0
508124.3307	5899848.2203	0.0000	LineP4	146	219	0
508123.7072	5899847.9763	0.0000	LineP4	146	219	0
508123.6671	5899847.9763	0.0000	LineP4	146	219	0
508120.9362	5899848.7795	0.0000	LineP4	146	219	0
508118.2053	5899849.9843	0.0000	LineP4	146	219	0
508118.1250	5899849.9843	0.0000	LineP4	146	219	0
508116.3579	5899850.1450	0.0000	LineP4	146	219	0
508116.2776	5899850.1450	0.0000	LineP4	146	219	0
508111.9002	5899846.8920	0.0000	LineP4	146	219	0
508111.8600	5899846.8519	0.0000	LineP4	146	219	0
508111.8199	5899846.8117	0.0000	LineP4	146	219	0
508109.7316	5899843.6792	0.0000	LineP4	146	219	0
508108.3260	5899839.3018	0.0000	LineP4	146	219	0
508108.4464	5899835.7276	0.0000	LineP4	146	219	0
508104.8722	5899832.2336	0.0000	LineP4	146	219	0
508103.5871	5899831.7116	0.0000	LineP4	146	219	0
508103.5469	5899831.7116	0.0000	LineP4	146	219	0
508102.5831	5899829.1012	0.0000	LineP4	146	219	0
508101.3783	5899826.5309	0.0000	LineP4	146	219	0
508101.3783	5899826.4908	0.0000	LineP4	146	219	0
508100.0932	5899824.7237	0.0000	LineP4	146	219	0
508100.0128	5899824.6434	0.0000	LineP4	146	219	0
508097.8844	5899823.6796	0.0000	LineP4	146	219	0
508096.2780	5899823.4386	0.0000	LineP4	146	219	0
508095.1133	5899821.1896	0.0000	LineP4	146	219	0
508094.3503	5899819.4628	0.0000	LineP4	146	219	0
508094.2700	5899819.3824	0.0000	LineP4	146	219	0
508094.2298	5899819.2620	0.0000	LineP4	146	219	0
508094.1897	5899819.2218	0.0000	LineP4	146	219	0
508094.1495	5899819.2218	0.0000	LineP4	146	219	0
508092.4628	5899816.9327	0.0000	LineP4	146	219	0
508092.4628	5899816.8925	0.0000	LineP4	146	219	0
508090.6154	5899814.8042	0.0000	LineP4	146	219	0
508088.6983	5899812.0777	0.0000	LineP4	146	219	0
508086.0372	5899808.1377	0.0000	LineP4	146	219	0
508082.5433	5899804.0815	0.0000	LineP4	146	219	0
508080.0132	5899800.8687	0.0000	LineP4	146	219	0
508080.0132	5899800.8285	0.0000	LineP4	146	219	0
508076.2783	5899798.2181	0.0000	LineP4	146	219	0
508074.7924	5899795.7282	0.0000	LineP4	146	219	0
508074.7121	5899795.6881	0.0000	LineP4	146	219	0
508071.6599	5899793.3186	0.0000	LineP4	146	219	0
508068.6078	5899790.2665	0.0000	LineP4	146	219	0
508068.5676	5899790.2665	0.0000	LineP4	146	219	0
508066.7202	5899787.9372	0.0000	LineP4	146	219	0
508064.3910	5899786.7324	0.0000	LineP4	146	219	0
508063.3066	5899785.4874	0.0000	LineP4	146	219	0
508061.6601	5899781.5116	0.0000	LineP4	146	219	0
508060.7364	5899779.6241	0.0000	LineP4	146	219	0
508060.7364	5899779.5839	0.0000	LineP4	146	219	0
508059.4111	5899778.6603	0.0000	LineP4	146	219	0
