x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
507873.1424	5899547.5171	0.0000	PolygonP7	255	0	0
507862.8147	5899528.8455	0.0000	PolygonP7	255	0	0
507861.0058	5899526.1614	0.0000	PolygonP7	255	0	0
507860.7725	5899524.0609	0.0000	PolygonP7	255	0	0
507860.7141	5899524.0609	0.0000	PolygonP7	255	0	0
507857.5049	5899521.4935	0.0000	PolygonP7	255	0	0
507852.1368	5899512.0994	0.0000	PolygonP7	255	0	0
507846.5353	5899506.2645	0.0000	PolygonP7	255	0	0
507835.7991	5899496.6369	0.0000	PolygonP7	255	0	0
507829.7892	5899489.6934	0.0000	PolygonP7	255	0	0
507825.5881	5899484.2086	0.0000	PolygonP7	255	0	0
507819.5198	5899477.2651	0.0000	PolygonP7	255	0	0
507817.0108	5899473.9392	0.0000	PolygonP7	255	0	0
507816.9525	5899473.8225	0.0000	PolygonP7	255	0	0
507814.7936	5899470.3799	0.0000	PolygonP7	255	0	0
507814.7936	5899470.3216	0.0000	PolygonP7	255	0	0
507814.2684	5899466.7623	0.0000	PolygonP7	255	0	0
507814.2101	5899466.5873	0.0000	PolygonP7	255	0	0
507811.8178	5899462.3861	0.0000	PolygonP7	255	0	0
507808.9003	5899458.7102	0.0000	PolygonP7	255	0	0
507806.5664	5899455.5010	0.0000	PolygonP7	255	0	0
507806.5664	5899455.3843	0.0000	PolygonP7	255	0	0
507804.9910	5899452.2334	0.0000	PolygonP7	255	0	0
507801.7234	5899446.5736	0.0000	PolygonP7	255	0	0
507801.6651	5899446.5153	0.0000	PolygonP7	255	0	0
507797.6390	5899441.9057	0.0000	PolygonP7	255	0	0
507797.6390	5899441.8473	0.0000	PolygonP7	255	0	0
507796.3553	5899439.1633	0.0000	PolygonP7	255	0	0
507796.3553	5899439.1049	0.0000	PolygonP7	255	0	0
507796.3553	5899439.0466	0.0000	PolygonP7	255	0	0
507796.3553	5899438.9299	0.0000	PolygonP7	255	0	0
507794.1381	5899434.9622	0.0000	PolygonP7	255	0	0
507794.1381	5899434.7871	0.0000	PolygonP7	255	0	0
507792.3876	5899430.7611	0.0000	PolygonP7	255	0	0
507792.3293	5899430.7611	0.0000	PolygonP7	255	0	0
507790.4621	5899424.9845	0.0000	PolygonP7	255	0	0
507790.4621	5899424.8678	0.0000	PolygonP7	255	0	0
507790.4621	5899424.8095	0.0000	PolygonP7	255	0	0
507789.2368	5899419.4414	0.0000	PolygonP7	255	0	0
507789.2368	5899419.3830	0.0000	PolygonP7	255	0	0
507789.2368	5899419.3247	0.0000	PolygonP7	255	0	0
507789.1784	5899419.1496	0.0000	PolygonP7	255	0	0
507781.0679	5899407.8883	0.0000	PolygonP7	255	0	0
507778.0921	5899401.8200	0.0000	PolygonP7	255	0	0
507778.0338	5899401.7617	0.0000	PolygonP7	255	0	0
507777.9754	5899401.7033	0.0000	PolygonP7	255	0	0
507775.6998	5899397.0938	0.0000	PolygonP7	255	0	0
507775.6415	5899397.0354	0.0000	PolygonP7	255	0	0
507772.7240	5899392.1341	0.0000	PolygonP7	255	0	0
