x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
508027.0272	5899754.8887	0.0000	PolygonP5	255	170	0
508028.0183	5899757.1304	0.0000	PolygonP5	255	170	0
508028.0183	5899757.1775	0.0000	PolygonP5	255	170	0
508029.0565	5899758.5933	0.0000	PolygonP5	255	170	0
508030.5195	5899759.3484	0.0000	PolygonP5	255	170	0
508031.8409	5899760.2451	0.0000	PolygonP5	255	170	0
508032.6196	5899760.7170	0.0000	PolygonP5	255	170	0
508033.5398	5899762.4867	0.0000	PolygonP5	255	170	0
508033.5634	5899762.5103	0.0000	PolygonP5	255	170	0
508033.5634	5899762.5339	0.0000	PolygonP5	255	170	0
508034.3421	5899763.4778	0.0000	PolygonP5	255	170	0
508034.3657	5899763.5014	0.0000	PolygonP5	255	170	0
508034.3893	5899763.5014	0.0000	PolygonP5	255	170	0
508036.1826	5899764.3980	0.0000	PolygonP5	255	170	0
508036.2770	5899764.3980	0.0000	PolygonP5	255	170	0
508036.3006	5899764.3980	0.0000	PolygonP5	255	170	0
508037.2681	5899765.1295	0.0000	PolygonP5	255	170	0
508037.3153	5899765.1767	0.0000	PolygonP5	255	170	0
508037.3388	5899765.1767	0.0000	PolygonP5	255	170	0
508038.1411	5899766.2622	0.0000	PolygonP5	255	170	0
508038.1647	5899766.3094	0.0000	PolygonP5	255	170	0
508038.1883	5899766.3330	0.0000	PolygonP5	255	170	0
508038.1883	5899767.1352	0.0000	PolygonP5	255	170	0
508036.4894	5899770.4623	0.0000	PolygonP5	255	170	0
508034.7904	5899772.0669	0.0000	PolygonP5	255	170	0
508034.7668	5899772.0905	0.0000	PolygonP5	255	170	0
508033.7522	5899772.6096	0.0000	PolygonP5	255	170	0
508033.6342	5899772.6568	0.0000	PolygonP5	255	170	0
508033.5870	5899772.6568	0.0000	PolygonP5	255	170	0
508033.5634	5899772.6568	0.0000	PolygonP5	255	170	0
508032.0533	5899773.0107	0.0000	PolygonP5	255	170	0
508032.0061	5899773.0107	0.0000	PolygonP5	255	170	0
508030.6611	5899773.6006	0.0000	PolygonP5	255	170	0
508028.7026	5899774.5917	0.0000	PolygonP5	255	170	0
508029.5284	5899773.9074	0.0000	PolygonP5	255	170	0
508030.1419	5899773.4119	0.0000	PolygonP5	255	170	0
508031.1566	5899772.0905	0.0000	PolygonP5	255	170	0
508031.8645	5899770.2028	0.0000	PolygonP5	255	170	0
508032.5252	5899768.2207	0.0000	PolygonP5	255	170	0
508032.9027	5899766.3330	0.0000	PolygonP5	255	170	0
508032.1004	5899765.9318	0.0000	PolygonP5	255	170	0
508030.4723	5899765.2475	0.0000	PolygonP5	255	170	0
508028.0419	5899763.2654	0.0000	PolygonP5	255	170	0
508028.0183	5899763.2654	0.0000	PolygonP5	255	170	0
508026.0598	5899760.9294	0.0000	PolygonP5	255	170	0
508024.2900	5899759.3012	0.0000	PolygonP5	255	170	0
508022.5675	5899757.2483	0.0000	PolygonP5	255	170	0
508020.9865	5899754.7707	0.0000	PolygonP5	255	170	0
508020.1135	5899752.1751	0.0000	PolygonP5	255	170	0
508018.2494	5899746.7479	0.0000	PolygonP5	255	170	0
508015.1582	5899740.6601	0.0000	PolygonP5	255	170	0
508011.5480	5899734.9261	0.0000	PolygonP5	255	170	0
508007.8197	5899728.2484	0.0000	PolygonP5	255	170	0
508007.7962	5899728.2484	0.0000	PolygonP5	255	170	0
508007.7726	5899728.2484	0.0000	PolygonP5	255	170	0
508007.7490	5899728.2484	0.0000	PolygonP5	255	170	0
508005.6489	5899724.7561	0.0000	PolygonP5	255	170	0
508004.9646	5899722.9864	0.0000	PolygonP5	255	170	0
508001.8807	5899719.2198	0.0000	PolygonP5	255	170	0
508001.8971	5899719.2345	0.0000	PolygonP5	255	170	0
508001.8735	5899719.2109	0.0000	PolygonP5	255	170	0
508001.8807	5899719.2198	0.0000	PolygonP5	255	170	0
507999.0183	5899716.6389	0.0000	PolygonP5	255	170	0
507995.5260	5899713.9961	0.0000	PolygonP5	255	170	0
507989.9101	5899710.7634	0.0000	PolygonP5	255	170	0
507986.0639	5899709.0173	0.0000	PolygonP5	255	170	0
507983.7514	5899707.6959	0.0000	PolygonP5	255	170	0
507978.7254	5899704.2272	0.0000	PolygonP5	255	170	0
507973.9825	5899701.2777	0.0000	PolygonP5	255	170	0
507968.9801	5899697.5022	0.0000	PolygonP5	255	170	0
507965.3179	5899694.1148	0.0000	PolygonP5	255	170	0
507963.6399	5899692.5896	0.0000	PolygonP5	255	170	0
507960.8865	5899689.2907	0.0000	PolygonP5	255	170	0
507956.8751	5899684.8546	0.0000	PolygonP5	255	170	0
507954.7514	5899681.4095	0.0000	PolygonP5	255	170	0
507953.1233	5899679.5926	0.0000	PolygonP5	255	170	0
507951.3772	5899679.0027	0.0000	PolygonP5	255	170	0
507949.4658	5899677.3037	0.0000	PolygonP5	255	170	0
507946.9174	5899674.1654	0.0000	PolygonP5	255	170	0
507946.8702	5899674.1654	0.0000	PolygonP5	255	170	0
507943.2364	5899669.8473	0.0000	PolygonP5	255	170	0
507940.9711	5899665.8831	0.0000	PolygonP5	255	170	0
507938.9183	5899662.7447	0.0000	PolygonP5	255	170	0
507935.4968	5899660.2907	0.0000	PolygonP5	255	170	0
507935.4732	5899660.2907	0.0000	PolygonP5	255	170	0
507932.2169	5899659.0637	0.0000	PolygonP5	255	170	0
507932.1933	5899659.0873	0.0000	PolygonP5	255	170	0
507932.1697	5899659.0873	0.0000	PolygonP5	255	170	0
507928.9606	5899656.6097	0.0000	PolygonP5	255	170	0
507922.9671	5899651.6072	0.0000	PolygonP5	255	170	0
507922.9435	5899651.6072	0.0000	PolygonP5	255	170	0
507922.9199	5899651.6072	0.0000	PolygonP5	255	170	0
507918.4366	5899645.4958	0.0000	PolygonP5	255	170	0
507916.2421	5899641.7203	0.0000	PolygonP5	255	170	0
507913.6465	5899635.4909	0.0000	PolygonP5	255	170	0
507913.6302	5899635.4810	0.0000	PolygonP5	255	170	0
507926.8816	5899620.1992	0.0000	PolygonP5	255	170	0
507928.3943	5899620.9555	0.0000	PolygonP5	255	170	0
507928.5358	5899621.0027	0.0000	PolygonP5	255	170	0
507928.6066	5899621.0735	0.0000	PolygonP5	255	170	0
507928.6066	5899621.0971	0.0000	PolygonP5	255	170	0
507930.4707	5899621.8758	0.0000	PolygonP5	255	170	0
507932.5708	5899622.2769	0.0000	PolygonP5	255	170	0
507932.6652	5899622.3005	0.0000	PolygonP5	255	170	0
507932.7832	5899622.3477	0.0000	PolygonP5	255	170	0
507932.8540	5899622.3713	0.0000	PolygonP5	255	170	0
507932.8776	5899622.3949	0.0000	PolygonP5	255	170	0
507934.2698	5899622.9612	0.0000	PolygonP5	255	170	0
507934.7181	5899621.5454	0.0000	PolygonP5	255	170	0
507934.1754	5899619.2094	0.0000	PolygonP5	255	170	0
507933.7034	5899617.2509	0.0000	PolygonP5	255	170	0
507932.1461	5899612.4844	0.0000	PolygonP5	255	170	0
507932.0753	5899610.7855	0.0000	PolygonP5	255	170	0
507932.0517	5899610.7383	0.0000	PolygonP5	255	170	0
507932.0281	5899610.6911	0.0000	PolygonP5	255	170	0
507931.8865	5899608.3550	0.0000	PolygonP5	255	170	0
507931.8629	5899608.3078	0.0000	PolygonP5	255	170	0
507931.8629	5899608.2606	0.0000	PolygonP5	255	170	0
507931.1314	5899606.3493	0.0000	PolygonP5	255	170	0
507931.1078	5899606.3257	0.0000	PolygonP5	255	170	0
507930.2820	5899603.5886	0.0000	PolygonP5	255	170	0
507930.2820	5899603.4942	0.0000	PolygonP5	255	170	0
507930.2112	5899603.4234	0.0000	PolygonP5	255	170	0
507930.1168	5899603.3526	0.0000	PolygonP5	255	170	0
507929.9516	5899602.0784	0.0000	PolygonP5	255	170	0
507929.9516	5899602.0548	0.0000	PolygonP5	255	170	0
507929.9280	5899602.0312	0.0000	PolygonP5	255	170	0
507931.5326	5899602.0076	0.0000	PolygonP5	255	170	0
507931.6034	5899602.0076	0.0000	PolygonP5	255	170	0
507931.6270	5899602.0076	0.0000	PolygonP5	255	170	0
507933.0899	5899602.6683	0.0000	PolygonP5	255	170	0
507936.4406	5899605.4527	0.0000	PolygonP5	255	170	0
507937.6204	5899606.9628	0.0000	PolygonP5	255	170	0
507937.1957	5899609.3225	0.0000	PolygonP5	255	170	0
507936.9362	5899611.2810	0.0000	PolygonP5	255	170	0
507936.9362	5899613.0507	0.0000	PolygonP5	255	170	0
507936.9362	5899613.0743	0.0000	PolygonP5	255	170	0
507936.9362	5899613.1687	0.0000	PolygonP5	255	170	0
507937.3137	5899615.1744	0.0000	PolygonP5	255	170	0
507937.3609	5899615.2452	0.0000	PolygonP5	255	170	0
507937.3609	5899615.2688	0.0000	PolygonP5	255	170	0
507937.3609	5899615.2924	0.0000	PolygonP5	255	170	0
507937.5733	5899617.2037	0.0000	PolygonP5	255	170	0
507937.5733	5899617.2509	0.0000	PolygonP5	255	170	0
507937.5733	5899617.2745	0.0000	PolygonP5	255	170	0
507937.5733	5899617.3217	0.0000	PolygonP5	255	170	0
507937.8800	5899619.7757	0.0000	PolygonP5	255	170	0
507937.8800	5899619.7993	0.0000	PolygonP5	255	170	0
507937.8800	5899619.8229	0.0000	PolygonP5	255	170	0
507937.6440	5899621.2859	0.0000	PolygonP5	255	170	0
507937.6204	5899621.4038	0.0000	PolygonP5	255	170	0
507937.5497	5899621.4982	0.0000	PolygonP5	255	170	0
507937.4789	5899623.5511	0.0000	PolygonP5	255	170	0
507937.4789	5899623.5983	0.0000	PolygonP5	255	170	0
507937.4789	5899623.6691	0.0000	PolygonP5	255	170	0
507938.8947	5899625.0377	0.0000	PolygonP5	255	170	0
507938.9183	5899625.0377	0.0000	PolygonP5	255	170	0
507942.5285	5899627.6805	0.0000	PolygonP5	255	170	0
507946.7287	5899631.7627	0.0000	PolygonP5	255	170	0
507949.6310	5899633.3436	0.0000	PolygonP5	255	170	0
507952.9109	5899635.4201	0.0000	PolygonP5	255	170	0
507956.6627	5899638.4404	0.0000	PolygonP5	255	170	0
507956.7099	5899638.4876	0.0000	PolygonP5	255	170	0
507956.7099	5899638.5112	0.0000	PolygonP5	255	170	0
507959.0460	5899641.8619	0.0000	PolygonP5	255	170	0
507959.0460	5899641.8855	0.0000	PolygonP5	255	170	0
507960.1550	5899643.3249	0.0000	PolygonP5	255	170	0
507961.9247	5899645.9205	0.0000	PolygonP5	255	170	0
507961.9955	5899645.9677	0.0000	PolygonP5	255	170	0
507961.9955	5899645.9913	0.0000	PolygonP5	255	170	0
507962.0191	5899646.0149	0.0000	PolygonP5	255	170	0
507963.3877	5899648.5633	0.0000	PolygonP5	255	170	0
507964.6383	5899650.4274	0.0000	PolygonP5	255	170	0
507966.4788	5899652.7399	0.0000	PolygonP5	255	170	0
507968.4374	5899654.7692	0.0000	PolygonP5	255	170	0
507968.4374	5899654.7928	0.0000	PolygonP5	255	170	0
507970.1363	5899655.6894	0.0000	PolygonP5	255	170	0
507971.6465	5899656.2793	0.0000	PolygonP5	255	170	0
507973.1094	5899657.5535	0.0000	PolygonP5	255	170	0
507975.4455	5899660.7862	0.0000	PolygonP5	255	170	0
507975.7050	5899661.7773	0.0000	PolygonP5	255	170	0
507975.7050	5899661.8245	0.0000	PolygonP5	255	170	0
507975.7050	5899661.8481	0.0000	PolygonP5	255	170	0
507975.7050	5899661.8717	0.0000	PolygonP5	255	170	0
507976.0118	5899663.1223	0.0000	PolygonP5	255	170	0
507976.0826	5899664.3021	0.0000	PolygonP5	255	170	0
507976.0826	5899664.3493	0.0000	PolygonP5	255	170	0
507976.2006	5899665.5291	0.0000	PolygonP5	255	170	0
507976.2006	5899665.5527	0.0000	PolygonP5	255	170	0
507977.1916	5899667.5348	0.0000	PolygonP5	255	170	0
507979.4097	5899670.5787	0.0000	PolygonP5	255	170	0
507983.1851	5899674.4957	0.0000	PolygonP5	255	170	0
507984.6481	5899675.8879	0.0000	PolygonP5	255	170	0
507985.7807	5899677.6813	0.0000	PolygonP5	255	170	0
507985.5683	5899679.4510	0.0000	PolygonP5	255	170	0
507986.5594	5899680.7960	0.0000	PolygonP5	255	170	0
507986.5594	5899680.8196	0.0000	PolygonP5	255	170	0
507988.8010	5899682.4713	0.0000	PolygonP5	255	170	0
507988.8246	5899682.5185	0.0000	PolygonP5	255	170	0
507988.8954	5899682.5657	0.0000	PolygonP5	255	170	0
507990.6888	5899683.5568	0.0000	PolygonP5	255	170	0
507990.7360	5899683.5568	0.0000	PolygonP5	255	170	0
507990.9955	5899683.6512	0.0000	PolygonP5	255	170	0
507991.0899	5899683.6512	0.0000	PolygonP5	255	170	0
507992.9068	5899684.8074	0.0000	PolygonP5	255	170	0
507994.3698	5899684.9254	0.0000	PolygonP5	255	170	0
507994.6058	5899684.9490	0.0000	PolygonP5	255	170	0
507994.8653	5899685.0197	0.0000	PolygonP5	255	170	0
507994.8889	5899685.0433	0.0000	PolygonP5	255	170	0
507995.1721	5899685.3501	0.0000	PolygonP5	255	170	0
507995.1721	5899685.3973	0.0000	PolygonP5	255	170	0
507995.1721	5899685.4209	0.0000	PolygonP5	255	170	0
507996.6115	5899685.8928	0.0000	PolygonP5	255	170	0
507996.6351	5899685.9636	0.0000	PolygonP5	255	170	0
507996.6822	5899685.9636	0.0000	PolygonP5	255	170	0
507999.4902	5899686.1524	0.0000	PolygonP5	255	170	0
508002.4634	5899686.6715	0.0000	PolygonP5	255	170	0
508004.4219	5899686.9075	0.0000	PolygonP5	255	170	0
508007.0883	5899688.0165	0.0000	PolygonP5	255	170	0
508007.1590	5899688.1817	0.0000	PolygonP5	255	170	0
508007.1590	5899688.2053	0.0000	PolygonP5	255	170	0
508009.3535	5899690.5649	0.0000	PolygonP5	255	170	0
508010.6849	5899691.7471	0.0000	PolygonP5	255	170	0
508011.6896	5899693.0897	0.0000	PolygonP5	255	170	0
508011.9727	5899694.3875	0.0000	PolygonP5	255	170	0
508011.9727	5899694.4111	0.0000	PolygonP5	255	170	0
508011.9727	5899694.4347	0.0000	PolygonP5	255	170	0
508011.9491	5899694.4583	0.0000	PolygonP5	255	170	0
508011.9491	5899695.6381	0.0000	PolygonP5	255	170	0
508013.0110	5899696.9123	0.0000	PolygonP5	255	170	0
508015.9133	5899699.0124	0.0000	PolygonP5	255	170	0
508017.8954	5899700.4754	0.0000	PolygonP5	255	170	0
508019.5472	5899701.8676	0.0000	PolygonP5	255	170	0
508022.9922	5899704.1800	0.0000	PolygonP5	255	170	0
508028.8677	5899707.7903	0.0000	PolygonP5	255	170	0
508028.9385	5899707.8139	0.0000	PolygonP5	255	170	0
508029.0801	5899707.9083	0.0000	PolygonP5	255	170	0
508029.1037	5899707.9319	0.0000	PolygonP5	255	170	0
508029.8352	5899708.8285	0.0000	PolygonP5	255	170	0
508029.9296	5899708.9229	0.0000	PolygonP5	255	170	0
508029.9296	5899708.9465	0.0000	PolygonP5	255	170	0
508030.4487	5899711.5185	0.0000	PolygonP5	255	170	0
508030.4723	5899711.5657	0.0000	PolygonP5	255	170	0
508030.4723	5899711.5893	0.0000	PolygonP5	255	170	0
508030.9914	5899713.5006	0.0000	PolygonP5	255	170	0
508030.9678	5899713.5478	0.0000	PolygonP5	255	170	0
508030.7790	5899715.2231	0.0000	PolygonP5	255	170	0
508030.7790	5899715.2703	0.0000	PolygonP5	255	170	0
508030.7790	5899715.2939	0.0000	PolygonP5	255	170	0
508031.1330	5899717.1816	0.0000	PolygonP5	255	170	0
508031.5341	5899719.4941	0.0000	PolygonP5	255	170	0
508031.5577	5899719.4941	0.0000	PolygonP5	255	170	0
508031.9825	5899722.1133	0.0000	PolygonP5	255	170	0
508032.4544	5899725.0392	0.0000	PolygonP5	255	170	0
508032.4544	5899725.0628	0.0000	PolygonP5	255	170	0
508033.3511	5899727.3753	0.0000	PolygonP5	255	170	0
508035.4747	5899729.1450	0.0000	PolygonP5	255	170	0
508038.0703	5899729.2866	0.0000	PolygonP5	255	170	0
508039.4153	5899730.0181	0.0000	PolygonP5	255	170	0
508033.5080	5899738.5806	0.0000	PolygonP5	255	170	0
508032.8083	5899737.8757	0.0000	PolygonP5	255	170	0
508031.1330	5899737.7813	0.0000	PolygonP5	255	170	0
508029.6464	5899737.9937	0.0000	PolygonP5	255	170	0
508029.6228	5899737.9937	0.0000	PolygonP5	255	170	0
508028.3486	5899738.4656	0.0000	PolygonP5	255	170	0
508028.3014	5899738.4892	0.0000	PolygonP5	255	170	0
508026.6497	5899739.4095	0.0000	PolygonP5	255	170	0
508026.6261	5899739.4095	0.0000	PolygonP5	255	170	0
508026.6261	5899739.4331	0.0000	PolygonP5	255	170	0
508025.3991	5899740.3533	0.0000	PolygonP5	255	170	0
508025.3755	5899740.4241	0.0000	PolygonP5	255	170	0
508025.3283	5899740.4477	0.0000	PolygonP5	255	170	0
508025.3047	5899740.4713	0.0000	PolygonP5	255	170	0
508025.3047	5899740.4949	0.0000	PolygonP5	255	170	0
508024.9271	5899741.6275	0.0000	PolygonP5	255	170	0
508024.9271	5899741.6747	0.0000	PolygonP5	255	170	0
508024.9271	5899741.6983	0.0000	PolygonP5	255	170	0
508024.9035	5899743.3265	0.0000	PolygonP5	255	170	0
508025.0451	5899745.0726	0.0000	PolygonP5	255	170	0
508025.3755	5899747.8334	0.0000	PolygonP5	255	170	0
508025.3755	5899747.8806	0.0000	PolygonP5	255	170	0
508025.3755	5899747.9042	0.0000	PolygonP5	255	170	0
508026.5081	5899750.7829	0.0000	PolygonP5	255	170	0
508026.9328	5899753.1190	0.0000	PolygonP5	255	170	0
508026.9328	5899753.1426	0.0000	PolygonP5	255	170	0
508027.0272	5899754.8887	0.0000	PolygonP5	255	170	0
